file	obj	time	ub
../runs/beam-1000-learning-random/10_1000_10_10_20_0.txt.out	111	8.475	0
../runs/beam-1000-learning-random/10_1000_10_10_20_1.txt.out	110	8.631	0
../runs/beam-1000-learning-random/10_1000_10_10_20_2.txt.out	110	8.359	0
../runs/beam-1000-learning-random/10_1000_10_10_20_3.txt.out	109	7.088	0
../runs/beam-1000-learning-random/10_1000_10_10_20_4.txt.out	110	7.845	0
../runs/beam-1000-learning-random/10_1000_10_10_4_0.txt.out	339	1.282	0
../runs/beam-1000-learning-random/10_1000_10_10_4_1.txt.out	401	3.965	0
../runs/beam-1000-learning-random/10_1000_10_10_4_2.txt.out	403	2.605	0
../runs/beam-1000-learning-random/10_1000_10_10_4_3.txt.out	412	2.79	0
../runs/beam-1000-learning-random/10_1000_10_10_4_4.txt.out	407	2.814	0
../runs/beam-1000-learning-random/10_1000_10_20_20_0.txt.out	112	7.832	0
../runs/beam-1000-learning-random/10_1000_10_20_20_1.txt.out	110	8.606	0
../runs/beam-1000-learning-random/10_1000_10_20_20_2.txt.out	111	9.265	0
../runs/beam-1000-learning-random/10_1000_10_20_20_3.txt.out	111	8.546	0
../runs/beam-1000-learning-random/10_1000_10_20_20_4.txt.out	114	8.391	0
../runs/beam-1000-learning-random/10_1000_10_20_4_0.txt.out	403	2.645	0
../runs/beam-1000-learning-random/10_1000_10_20_4_1.txt.out	415	3.826	0
../runs/beam-1000-learning-random/10_1000_10_20_4_2.txt.out	408	3.892	0
../runs/beam-1000-learning-random/10_1000_10_20_4_3.txt.out	416	4.049	0
../runs/beam-1000-learning-random/10_1000_10_20_4_4.txt.out	417	3.795	0
../runs/beam-1000-learning-random/10_1000_10_50_20_0.txt.out	110	9.207	0
../runs/beam-1000-learning-random/10_1000_10_50_20_1.txt.out	110	8.838	0
../runs/beam-1000-learning-random/10_1000_10_50_20_2.txt.out	109	8.872	0
../runs/beam-1000-learning-random/10_1000_10_50_20_3.txt.out	110	8.719	0
../runs/beam-1000-learning-random/10_1000_10_50_20_4.txt.out	111	8.957	0
../runs/beam-1000-learning-random/10_1000_10_50_4_0.txt.out	419	4.33	0
../runs/beam-1000-learning-random/10_1000_10_50_4_1.txt.out	427	4.5	0
../runs/beam-1000-learning-random/10_1000_10_50_4_2.txt.out	435	4.479	0
../runs/beam-1000-learning-random/10_1000_10_50_4_3.txt.out	423	4.362	0
../runs/beam-1000-learning-random/10_1000_10_50_4_4.txt.out	425	4.342	0
../runs/beam-1000-learning-random/10_1000_3_10_20_0.txt.out	110	8.987	0
../runs/beam-1000-learning-random/10_1000_3_10_20_1.txt.out	107	8.971	0
../runs/beam-1000-learning-random/10_1000_3_10_20_2.txt.out	109	8.432	0
../runs/beam-1000-learning-random/10_1000_3_10_20_3.txt.out	109	8.381	0
../runs/beam-1000-learning-random/10_1000_3_10_20_4.txt.out	109	8.634	0
../runs/beam-1000-learning-random/10_1000_3_10_4_0.txt.out	402	2.691	0
../runs/beam-1000-learning-random/10_1000_3_10_4_1.txt.out	411	4	0
../runs/beam-1000-learning-random/10_1000_3_10_4_2.txt.out	414	3.87	0
../runs/beam-1000-learning-random/10_1000_3_10_4_3.txt.out	407	4.055	0
../runs/beam-1000-learning-random/10_1000_3_10_4_4.txt.out	420	3.746	0
../runs/beam-1000-learning-random/10_1000_3_20_20_0.txt.out	112	8.659	0
../runs/beam-1000-learning-random/10_1000_3_20_20_1.txt.out	111	8.953	0
../runs/beam-1000-learning-random/10_1000_3_20_20_2.txt.out	111	9.423	0
../runs/beam-1000-learning-random/10_1000_3_20_20_3.txt.out	110	8.211	0
../runs/beam-1000-learning-random/10_1000_3_20_20_4.txt.out	111	8.415	0
../runs/beam-1000-learning-random/10_1000_3_20_4_0.txt.out	414	4.015	0
../runs/beam-1000-learning-random/10_1000_3_20_4_1.txt.out	405	3.254	0
../runs/beam-1000-learning-random/10_1000_3_20_4_2.txt.out	410	2.855	0
../runs/beam-1000-learning-random/10_1000_3_20_4_3.txt.out	409	2.837	0
../runs/beam-1000-learning-random/10_1000_3_20_4_4.txt.out	405	2.681	0
../runs/beam-1000-learning-random/10_1000_3_50_20_0.txt.out	110	8.487	0
../runs/beam-1000-learning-random/10_1000_3_50_20_1.txt.out	110	8.133	0
../runs/beam-1000-learning-random/10_1000_3_50_20_2.txt.out	111	8.587	0
../runs/beam-1000-learning-random/10_1000_3_50_20_3.txt.out	110	8.341	0
../runs/beam-1000-learning-random/10_1000_3_50_20_4.txt.out	111	7.686	0
../runs/beam-1000-learning-random/10_1000_3_50_4_0.txt.out	430	4.365	0
../runs/beam-1000-learning-random/10_1000_3_50_4_1.txt.out	425	4.058	0
../runs/beam-1000-learning-random/10_1000_3_50_4_2.txt.out	430	3.851	0
../runs/beam-1000-learning-random/10_1000_3_50_4_3.txt.out	426	4.073	0
../runs/beam-1000-learning-random/10_1000_3_50_4_4.txt.out	432	4.45	0
../runs/beam-1000-learning-random/10_1000_5_10_20_0.txt.out	110	8.97	0
../runs/beam-1000-learning-random/10_1000_5_10_20_1.txt.out	110	8.628	0
../runs/beam-1000-learning-random/10_1000_5_10_20_2.txt.out	111	9.562	0
../runs/beam-1000-learning-random/10_1000_5_10_20_3.txt.out	111	8.734	0
../runs/beam-1000-learning-random/10_1000_5_10_20_4.txt.out	109	8.712	0
../runs/beam-1000-learning-random/10_1000_5_10_4_0.txt.out	404	3.934	0
../runs/beam-1000-learning-random/10_1000_5_10_4_1.txt.out	408	3.913	0
../runs/beam-1000-learning-random/10_1000_5_10_4_2.txt.out	408	3.935	0
../runs/beam-1000-learning-random/10_1000_5_10_4_3.txt.out	408	4.134	0
../runs/beam-1000-learning-random/10_1000_5_10_4_4.txt.out	404	2.764	0
../runs/beam-1000-learning-random/10_1000_5_20_20_0.txt.out	114	7.527	0
../runs/beam-1000-learning-random/10_1000_5_20_20_1.txt.out	112	8.807	0
../runs/beam-1000-learning-random/10_1000_5_20_20_2.txt.out	111	8.153	0
../runs/beam-1000-learning-random/10_1000_5_20_20_3.txt.out	113	9.346	0
../runs/beam-1000-learning-random/10_1000_5_20_20_4.txt.out	110	8.843	0
../runs/beam-1000-learning-random/10_1000_5_20_4_0.txt.out	413	4.031	0
../runs/beam-1000-learning-random/10_1000_5_20_4_1.txt.out	411	3.801	0
../runs/beam-1000-learning-random/10_1000_5_20_4_2.txt.out	419	4.328	0
../runs/beam-1000-learning-random/10_1000_5_20_4_3.txt.out	413	4.075	0
../runs/beam-1000-learning-random/10_1000_5_20_4_4.txt.out	419	3.879	0
../runs/beam-1000-learning-random/10_1000_5_50_20_0.txt.out	110	8.417	0
../runs/beam-1000-learning-random/10_1000_5_50_20_1.txt.out	111	9.036	0
../runs/beam-1000-learning-random/10_1000_5_50_20_2.txt.out	111	8.659	0
../runs/beam-1000-learning-random/10_1000_5_50_20_3.txt.out	110	9.095	0
../runs/beam-1000-learning-random/10_1000_5_50_20_4.txt.out	109	9.949	0
../runs/beam-1000-learning-random/10_1000_5_50_4_0.txt.out	425	4.312	0
../runs/beam-1000-learning-random/10_1000_5_50_4_1.txt.out	431	4.298	0
../runs/beam-1000-learning-random/10_1000_5_50_4_2.txt.out	427	4.029	0
../runs/beam-1000-learning-random/10_1000_5_50_4_3.txt.out	426	4.508	0
../runs/beam-1000-learning-random/10_1000_5_50_4_4.txt.out	423	4.191	0
../runs/beam-1000-learning-random/10_200_10_10_20_0.txt.out	19	0.945	0
../runs/beam-1000-learning-random/10_200_10_10_20_1.txt.out	19	0.936	0
../runs/beam-1000-learning-random/10_200_10_10_20_2.txt.out	19	0.936	0
../runs/beam-1000-learning-random/10_200_10_10_20_3.txt.out	19	0.977	0
../runs/beam-1000-learning-random/10_200_10_10_20_4.txt.out	19	0.937	0
../runs/beam-1000-learning-random/10_200_10_10_4_0.txt.out	83	0.559	0
../runs/beam-1000-learning-random/10_200_10_10_4_1.txt.out	79	0.532	0
../runs/beam-1000-learning-random/10_200_10_10_4_2.txt.out	82	0.617	0
../runs/beam-1000-learning-random/10_200_10_10_4_3.txt.out	82	0.628	0
../runs/beam-1000-learning-random/10_200_10_10_4_4.txt.out	82	0.544	0
../runs/beam-1000-learning-random/10_200_10_2_20_0.txt.out	19	0.673	0
../runs/beam-1000-learning-random/10_200_10_2_20_1.txt.out	18	0.711	0
../runs/beam-1000-learning-random/10_200_10_2_20_2.txt.out	19	0.651	0
../runs/beam-1000-learning-random/10_200_10_2_20_3.txt.out	19	0.743	0
../runs/beam-1000-learning-random/10_200_10_2_20_4.txt.out	18	0.655	0
../runs/beam-1000-learning-random/10_200_10_2_4_0.txt.out	2	0	0
../runs/beam-1000-learning-random/10_200_10_2_4_1.txt.out	2	0	0
../runs/beam-1000-learning-random/10_200_10_2_4_2.txt.out	65	0.008	0
../runs/beam-1000-learning-random/10_200_10_2_4_3.txt.out	50	0	0
../runs/beam-1000-learning-random/10_200_10_2_4_4.txt.out	61	0.006	0
../runs/beam-1000-learning-random/10_200_10_4_20_0.txt.out	19	0.942	0
../runs/beam-1000-learning-random/10_200_10_4_20_1.txt.out	20	0.946	0
../runs/beam-1000-learning-random/10_200_10_4_20_2.txt.out	20	0.921	0
../runs/beam-1000-learning-random/10_200_10_4_20_3.txt.out	20	0.98	0
../runs/beam-1000-learning-random/10_200_10_4_20_4.txt.out	18	0.901	0
../runs/beam-1000-learning-random/10_200_10_4_4_0.txt.out	67	0.252	0
../runs/beam-1000-learning-random/10_200_10_4_4_1.txt.out	64	0.249	0
../runs/beam-1000-learning-random/10_200_10_4_4_2.txt.out	64	0.229	0
../runs/beam-1000-learning-random/10_200_10_4_4_3.txt.out	77	0.455	0
../runs/beam-1000-learning-random/10_200_10_4_4_4.txt.out	79	0.467	0
../runs/beam-1000-learning-random/10_200_3_10_20_0.txt.out	20	0.696	0
../runs/beam-1000-learning-random/10_200_3_10_20_1.txt.out	19	0.824	0
../runs/beam-1000-learning-random/10_200_3_10_20_2.txt.out	19	0.731	0
../runs/beam-1000-learning-random/10_200_3_10_20_3.txt.out	18	0.621	0
../runs/beam-1000-learning-random/10_200_3_10_20_4.txt.out	20	0.747	0
../runs/beam-1000-learning-random/10_200_3_10_4_0.txt.out	81	0.493	0
../runs/beam-1000-learning-random/10_200_3_10_4_1.txt.out	82	0.638	0
../runs/beam-1000-learning-random/10_200_3_10_4_2.txt.out	80	0.548	0
../runs/beam-1000-learning-random/10_200_3_10_4_3.txt.out	83	0.728	0
../runs/beam-1000-learning-random/10_200_3_10_4_4.txt.out	79	0.629	0
../runs/beam-1000-learning-random/10_200_3_2_20_0.txt.out	18	0.736	0
../runs/beam-1000-learning-random/10_200_3_2_20_1.txt.out	20	0.741	0
../runs/beam-1000-learning-random/10_200_3_2_20_2.txt.out	20	0.84	0
../runs/beam-1000-learning-random/10_200_3_2_20_3.txt.out	19	0.743	0
../runs/beam-1000-learning-random/10_200_3_2_20_4.txt.out	20	0.708	0
../runs/beam-1000-learning-random/10_200_3_2_4_0.txt.out	66	0.123	0
../runs/beam-1000-learning-random/10_200_3_2_4_1.txt.out	74	0.527	0
../runs/beam-1000-learning-random/10_200_3_2_4_2.txt.out	51	0.009	0
../runs/beam-1000-learning-random/10_200_3_2_4_3.txt.out	57	0.011	0
../runs/beam-1000-learning-random/10_200_3_2_4_4.txt.out	81	0.445	0
../runs/beam-1000-learning-random/10_200_3_4_20_0.txt.out	20	0.792	0
../runs/beam-1000-learning-random/10_200_3_4_20_1.txt.out	19	0.739	0
../runs/beam-1000-learning-random/10_200_3_4_20_2.txt.out	19	0.843	0
../runs/beam-1000-learning-random/10_200_3_4_20_3.txt.out	20	0.791	0
../runs/beam-1000-learning-random/10_200_3_4_20_4.txt.out	19	0.914	0
../runs/beam-1000-learning-random/10_200_3_4_4_0.txt.out	78	0.602	0
../runs/beam-1000-learning-random/10_200_3_4_4_1.txt.out	81	0.495	0
../runs/beam-1000-learning-random/10_200_3_4_4_2.txt.out	79	0.581	0
../runs/beam-1000-learning-random/10_200_3_4_4_3.txt.out	72	0.301	0
../runs/beam-1000-learning-random/10_200_3_4_4_4.txt.out	79	0.437	0
../runs/beam-1000-learning-random/10_200_5_10_20_0.txt.out	19	0.773	0
../runs/beam-1000-learning-random/10_200_5_10_20_1.txt.out	20	0.843	0
../runs/beam-1000-learning-random/10_200_5_10_20_2.txt.out	18	0.736	0
../runs/beam-1000-learning-random/10_200_5_10_20_3.txt.out	19	0.845	0
../runs/beam-1000-learning-random/10_200_5_10_20_4.txt.out	20	0.937	0
../runs/beam-1000-learning-random/10_200_5_10_4_0.txt.out	80	0.65	0
../runs/beam-1000-learning-random/10_200_5_10_4_1.txt.out	81	0.675	0
../runs/beam-1000-learning-random/10_200_5_10_4_2.txt.out	80	0.54	0
../runs/beam-1000-learning-random/10_200_5_10_4_3.txt.out	86	0.682	0
../runs/beam-1000-learning-random/10_200_5_10_4_4.txt.out	82	0.729	0
../runs/beam-1000-learning-random/10_200_5_2_20_0.txt.out	18	0.641	0
../runs/beam-1000-learning-random/10_200_5_2_20_1.txt.out	19	0.785	0
../runs/beam-1000-learning-random/10_200_5_2_20_2.txt.out	19	0.773	0
../runs/beam-1000-learning-random/10_200_5_2_20_3.txt.out	18	0.579	0
../runs/beam-1000-learning-random/10_200_5_2_20_4.txt.out	19	0.663	0
../runs/beam-1000-learning-random/10_200_5_2_4_0.txt.out	59	0.006	0
../runs/beam-1000-learning-random/10_200_5_2_4_1.txt.out	58	0.006	0
../runs/beam-1000-learning-random/10_200_5_2_4_2.txt.out	53	0.005	0
../runs/beam-1000-learning-random/10_200_5_2_4_3.txt.out	57	0	0
../runs/beam-1000-learning-random/10_200_5_2_4_4.txt.out	66	0.014	0
../runs/beam-1000-learning-random/10_200_5_4_20_0.txt.out	19	0.857	0
../runs/beam-1000-learning-random/10_200_5_4_20_1.txt.out	19	0.754	0
../runs/beam-1000-learning-random/10_200_5_4_20_2.txt.out	19	0.84	0
../runs/beam-1000-learning-random/10_200_5_4_20_3.txt.out	19	0.798	0
../runs/beam-1000-learning-random/10_200_5_4_20_4.txt.out	20	0.98	0
../runs/beam-1000-learning-random/10_200_5_4_4_0.txt.out	79	0.451	0
../runs/beam-1000-learning-random/10_200_5_4_4_1.txt.out	65	0.253	0
../runs/beam-1000-learning-random/10_200_5_4_4_2.txt.out	71	0.299	0
../runs/beam-1000-learning-random/10_200_5_4_4_3.txt.out	81	0.65	0
