file	obj	time	ub
runs/alg-2-beam-0-h-2-abstract/neg_12_10_0.txt.out	29	600	287

runs/alg-2-beam-0-h-2-abstract/neg_12_10_1.txt.out	42	600	271

runs/alg-2-beam-0-h-2-abstract/neg_12_10_10.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_11.txt.out	39	430	289

runs/alg-2-beam-0-h-2-abstract/neg_12_10_12.txt.out	48	355	252

runs/alg-2-beam-0-h-2-abstract/neg_12_10_13.txt.out	38	270	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_14.txt.out	39	260	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_15.txt.out	40	250	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_16.txt.out	37	270	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_17.txt.out	38	280	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_18.txt.out	38	245	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_19.txt.out	38	270	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_2.txt.out	36	580	268

runs/alg-2-beam-0-h-2-abstract/neg_12_10_20.txt.out	38	255	250

runs/alg-2-beam-0-h-2-abstract/neg_12_10_21.txt.out	55	600	222

runs/alg-2-beam-0-h-2-abstract/neg_12_10_22.txt.out	53	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_23.txt.out	51	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_24.txt.out	56	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_25.txt.out	47	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_26.txt.out	53	601.703	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_27.txt.out	53	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_28.txt.out	53	603.332	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_29.txt.out	53	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_3.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_30.txt.out	43	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_31.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_32.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_33.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_34.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_35.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_36.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_37.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_38.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_39.txt.out	40	585	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_4.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_40.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_41.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_42.txt.out	40	600	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_43.txt.out	40	600	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_44.txt.out	39	585	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_45.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_46.txt.out	37	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_47.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_48.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_49.txt.out	39	590	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_5.txt.out	32	600	266

runs/alg-2-beam-0-h-2-abstract/neg_12_10_50.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_51.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_52.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_53.txt.out	38	585	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_54.txt.out	39	590	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_55.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_56.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_57.txt.out	37	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_58.txt.out	37	580	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_59.txt.out	37	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_6.txt.out	32	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_60.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_61.txt.out	39	600	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_62.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_63.txt.out	39	595	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_64.txt.out	38	595	221

runs/alg-2-beam-0-h-2-abstract/neg_12_10_65.txt.out	39	540.067	220

runs/alg-2-beam-0-h-2-abstract/neg_12_10_7.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_8.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_10_9.txt.out	29	603.837	267

runs/alg-2-beam-0-h-2-abstract/neg_12_11_0.txt.out	29	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_11_1.txt.out	38	265	250

runs/alg-2-beam-0-h-2-abstract/neg_12_11_10.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_11.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_2.txt.out	53	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_3.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_4.txt.out	39	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_5.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_6.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_7.txt.out	37	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_8.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_11_9.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_12_0.txt.out	38	600	221

runs/alg-2-beam-0-h-2-abstract/neg_12_3_0.txt.out	69	600	329

runs/alg-2-beam-0-h-2-abstract/neg_12_3_1.txt.out	45	600	268

runs/alg-2-beam-0-h-2-abstract/neg_12_3_2.txt.out	37	480	420

runs/alg-2-beam-0-h-2-abstract/neg_12_3_3.txt.out	74	600	389

runs/alg-2-beam-0-h-2-abstract/neg_12_3_4.txt.out	49	540	335

runs/alg-2-beam-0-h-2-abstract/neg_12_3_5.txt.out	35	435	308

runs/alg-2-beam-0-h-2-abstract/neg_12_3_6.txt.out	36	600	326

runs/alg-2-beam-0-h-2-abstract/neg_12_3_7.txt.out	62	600	335

runs/alg-2-beam-0-h-2-abstract/neg_12_3_8.txt.out	42	600	343

runs/alg-2-beam-0-h-2-abstract/neg_12_3_9.txt.out	55	565	443

runs/alg-2-beam-0-h-2-abstract/neg_12_4_0.txt.out	31	600	358

runs/alg-2-beam-0-h-2-abstract/neg_12_4_1.txt.out	44	600	329

runs/alg-2-beam-0-h-2-abstract/neg_12_4_2.txt.out	32	600	354

runs/alg-2-beam-0-h-2-abstract/neg_12_4_3.txt.out	45	600	422

runs/alg-2-beam-0-h-2-abstract/neg_12_4_4.txt.out	33	501.522	332

runs/alg-2-beam-0-h-2-abstract/neg_12_4_5.txt.out	39	600.015	321

runs/alg-2-beam-0-h-2-abstract/neg_12_4_6.txt.out	38	600	383

runs/alg-2-beam-0-h-2-abstract/neg_12_4_7.txt.out	45	600	282

runs/alg-2-beam-0-h-2-abstract/neg_12_4_8.txt.out	61	600	292

runs/alg-2-beam-0-h-2-abstract/neg_12_4_9.txt.out	54	555	359

runs/alg-2-beam-0-h-2-abstract/neg_12_5_0.txt.out	30	600	365

runs/alg-2-beam-0-h-2-abstract/neg_12_5_1.txt.out	28	600	325

runs/alg-2-beam-0-h-2-abstract/neg_12_5_2.txt.out	56	535	309

runs/alg-2-beam-0-h-2-abstract/neg_12_5_3.txt.out	22	585	349

runs/alg-2-beam-0-h-2-abstract/neg_12_5_4.txt.out	27	600	271

runs/alg-2-beam-0-h-2-abstract/neg_12_5_5.txt.out	32	600	331

runs/alg-2-beam-0-h-2-abstract/neg_12_5_6.txt.out	32	600	332

runs/alg-2-beam-0-h-2-abstract/neg_12_5_7.txt.out	60	580	334

runs/alg-2-beam-0-h-2-abstract/neg_12_5_8.txt.out	43	600	318

runs/alg-2-beam-0-h-2-abstract/neg_12_5_9.txt.out	36	600	344

runs/alg-2-beam-0-h-2-abstract/neg_12_6_0.txt.out	39	600	316

runs/alg-2-beam-0-h-2-abstract/neg_12_6_1.txt.out	50	600	289

runs/alg-2-beam-0-h-2-abstract/neg_12_6_2.txt.out	39	600	318

runs/alg-2-beam-0-h-2-abstract/neg_12_6_3.txt.out	38	600	268

runs/alg-2-beam-0-h-2-abstract/neg_12_6_4.txt.out	26	400	331

runs/alg-2-beam-0-h-2-abstract/neg_12_6_5.txt.out	32	420	304

runs/alg-2-beam-0-h-2-abstract/neg_12_6_6.txt.out	32	400.252	354

runs/alg-2-beam-0-h-2-abstract/neg_12_6_7.txt.out	36	475	281

runs/alg-2-beam-0-h-2-abstract/neg_12_6_8.txt.out	40	600	313

runs/alg-2-beam-0-h-2-abstract/neg_12_6_9.txt.out	35	590	278

runs/alg-2-beam-0-h-2-abstract/neg_12_7_0.txt.out	39	600	269

runs/alg-2-beam-0-h-2-abstract/neg_12_7_1.txt.out	29	600	304

runs/alg-2-beam-0-h-2-abstract/neg_12_7_2.txt.out	29	340	305

runs/alg-2-beam-0-h-2-abstract/neg_12_7_3.txt.out	31	325	358

runs/alg-2-beam-0-h-2-abstract/neg_12_7_4.txt.out	34	600	281

runs/alg-2-beam-0-h-2-abstract/neg_12_7_5.txt.out	30	580	334

runs/alg-2-beam-0-h-2-abstract/neg_12_7_6.txt.out	32	545	368

runs/alg-2-beam-0-h-2-abstract/neg_12_7_7.txt.out	30	600	284

runs/alg-2-beam-0-h-2-abstract/neg_12_7_8.txt.out	29	600	311

runs/alg-2-beam-0-h-2-abstract/neg_12_7_9.txt.out	32	525	300

runs/alg-2-beam-0-h-2-abstract/neg_12_8_0.txt.out	27	585	332

runs/alg-2-beam-0-h-2-abstract/neg_12_8_1.txt.out	31	600	268

runs/alg-2-beam-0-h-2-abstract/neg_12_8_2.txt.out	24	600	298

runs/alg-2-beam-0-h-2-abstract/neg_12_8_3.txt.out	33	600	281

runs/alg-2-beam-0-h-2-abstract/neg_12_8_4.txt.out	30	535	284

runs/alg-2-beam-0-h-2-abstract/neg_12_8_5.txt.out	46	600	290

runs/alg-2-beam-0-h-2-abstract/neg_12_8_6.txt.out	28	600	284

runs/alg-2-beam-0-h-2-abstract/neg_12_8_7.txt.out	47	600	270

runs/alg-2-beam-0-h-2-abstract/neg_12_8_8.txt.out	39	320	292

runs/alg-2-beam-0-h-2-abstract/neg_12_8_9.txt.out	36	600	266

runs/alg-2-beam-0-h-2-abstract/neg_12_9_0.txt.out	23	485	350

runs/alg-2-beam-0-h-2-abstract/neg_12_9_1.txt.out	37	600	270

runs/alg-2-beam-0-h-2-abstract/neg_12_9_2.txt.out	30	600	267

runs/alg-2-beam-0-h-2-abstract/neg_12_9_3.txt.out	33	600	266

runs/alg-2-beam-0-h-2-abstract/neg_12_9_4.txt.out	23	600	302

runs/alg-2-beam-0-h-2-abstract/neg_12_9_5.txt.out	32	395	288

runs/alg-2-beam-0-h-2-abstract/neg_12_9_6.txt.out	33	604.797	289

runs/alg-2-beam-0-h-2-abstract/neg_12_9_7.txt.out	29	600	306

runs/alg-2-beam-0-h-2-abstract/neg_12_9_8.txt.out	34	600	268

runs/alg-2-beam-0-h-2-abstract/neg_12_9_9.txt.out	31	600	267

runs/alg-2-beam-0-h-2-abstract/poz_12_10_0.txt.out	24	490	315

runs/alg-2-beam-0-h-2-abstract/poz_12_10_1.txt.out	27	530	303

runs/alg-2-beam-0-h-2-abstract/poz_12_10_10.txt.out	27	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_11.txt.out	28	425	297

runs/alg-2-beam-0-h-2-abstract/poz_12_10_12.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_13.txt.out	33	600	278

runs/alg-2-beam-0-h-2-abstract/poz_12_10_14.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_15.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_16.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_17.txt.out	32	585	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_18.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_19.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_2.txt.out	29	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_20.txt.out	32	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_21.txt.out	34	600	262

runs/alg-2-beam-0-h-2-abstract/poz_12_10_22.txt.out	37	600	262

runs/alg-2-beam-0-h-2-abstract/poz_12_10_23.txt.out	38	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_24.txt.out	33	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_25.txt.out	35	600.031	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_26.txt.out	34	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_27.txt.out	33	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_28.txt.out	33	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_29.txt.out	33	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_10_3.txt.out	30	600	278

runs/alg-2-beam-0-h-2-abstract/poz_12_10_30.txt.out	30	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_31.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_32.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_33.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_34.txt.out	29	595	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_35.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_36.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_37.txt.out	29	595	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_38.txt.out	31	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_39.txt.out	31	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_4.txt.out	28	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_40.txt.out	31	595	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_41.txt.out	33	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_42.txt.out	30	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_43.txt.out	30	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_44.txt.out	30	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_10_45.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_46.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_47.txt.out	29	575	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_48.txt.out	29	580	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_49.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_5.txt.out	29	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_50.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_51.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_52.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_53.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_54.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_55.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_56.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_57.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_58.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_59.txt.out	29	575	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_6.txt.out	28	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_60.txt.out	29	570	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_61.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_62.txt.out	29	590	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_63.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_64.txt.out	29	580	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_65.txt.out	29	595	257

runs/alg-2-beam-0-h-2-abstract/poz_12_10_7.txt.out	27	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_8.txt.out	27	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_10_9.txt.out	27	600.007	277

runs/alg-2-beam-0-h-2-abstract/poz_12_11_0.txt.out	27	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_11_1.txt.out	32	595	277

runs/alg-2-beam-0-h-2-abstract/poz_12_11_10.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_11.txt.out	29	570	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_2.txt.out	33	600	261

runs/alg-2-beam-0-h-2-abstract/poz_12_11_3.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_4.txt.out	30	600	258

runs/alg-2-beam-0-h-2-abstract/poz_12_11_5.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_6.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_7.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_8.txt.out	29	600	257

runs/alg-2-beam-0-h-2-abstract/poz_12_11_9.txt.out	29	560	257

runs/alg-2-beam-0-h-2-abstract/poz_12_12_0.txt.out	29	565	257

runs/alg-2-beam-0-h-2-abstract/poz_12_3_0.txt.out	56	600.002	354

runs/alg-2-beam-0-h-2-abstract/poz_12_3_1.txt.out	45	600	277

runs/alg-2-beam-0-h-2-abstract/poz_12_3_2.txt.out	35	349.057	465

runs/alg-2-beam-0-h-2-abstract/poz_12_3_3.txt.out	67	600	342

runs/alg-2-beam-0-h-2-abstract/poz_12_3_4.txt.out	48	600	344

runs/alg-2-beam-0-h-2-abstract/poz_12_3_5.txt.out	61	600	309

runs/alg-2-beam-0-h-2-abstract/poz_12_3_6.txt.out	43	600	359

runs/alg-2-beam-0-h-2-abstract/poz_12_3_7.txt.out	43	600	397

runs/alg-2-beam-0-h-2-abstract/poz_12_3_8.txt.out	42	600	325

runs/alg-2-beam-0-h-2-abstract/poz_12_3_9.txt.out	54	600	424

runs/alg-2-beam-0-h-2-abstract/poz_12_4_0.txt.out	43	580	348

runs/alg-2-beam-0-h-2-abstract/poz_12_4_1.txt.out	49	600	354

runs/alg-2-beam-0-h-2-abstract/poz_12_4_2.txt.out	42	600	358

runs/alg-2-beam-0-h-2-abstract/poz_12_4_3.txt.out	32	600	438

runs/alg-2-beam-0-h-2-abstract/poz_12_4_4.txt.out	31	486.046	345

runs/alg-2-beam-0-h-2-abstract/poz_12_4_5.txt.out	33	600	305

runs/alg-2-beam-0-h-2-abstract/poz_12_4_6.txt.out	30	470	403

runs/alg-2-beam-0-h-2-abstract/poz_12_4_7.txt.out	47	600	295

runs/alg-2-beam-0-h-2-abstract/poz_12_4_8.txt.out	59	600	313

runs/alg-2-beam-0-h-2-abstract/poz_12_4_9.txt.out	54	600	380

runs/alg-2-beam-0-h-2-abstract/poz_12_5_0.txt.out	34	600	395

runs/alg-2-beam-0-h-2-abstract/poz_12_5_1.txt.out	27	425	351

runs/alg-2-beam-0-h-2-abstract/poz_12_5_2.txt.out	42	600	307

runs/alg-2-beam-0-h-2-abstract/poz_12_5_3.txt.out	30	600.009	363

runs/alg-2-beam-0-h-2-abstract/poz_12_5_4.txt.out	26	600	287

runs/alg-2-beam-0-h-2-abstract/poz_12_5_5.txt.out	33	600	344

runs/alg-2-beam-0-h-2-abstract/poz_12_5_6.txt.out	36	600	362

runs/alg-2-beam-0-h-2-abstract/poz_12_5_7.txt.out	46	600	380

runs/alg-2-beam-0-h-2-abstract/poz_12_5_8.txt.out	40	600	340

runs/alg-2-beam-0-h-2-abstract/poz_12_5_9.txt.out	40	600	368

runs/alg-2-beam-0-h-2-abstract/poz_12_6_0.txt.out	30	535	336

runs/alg-2-beam-0-h-2-abstract/poz_12_6_1.txt.out	39	600	320

runs/alg-2-beam-0-h-2-abstract/poz_12_6_2.txt.out	30	600	329

runs/alg-2-beam-0-h-2-abstract/poz_12_6_3.txt.out	30	600	306

runs/alg-2-beam-0-h-2-abstract/poz_12_6_4.txt.out	30	490	356

runs/alg-2-beam-0-h-2-abstract/poz_12_6_5.txt.out	31	600	301

runs/alg-2-beam-0-h-2-abstract/poz_12_6_6.txt.out	30	600	375

runs/alg-2-beam-0-h-2-abstract/poz_12_6_7.txt.out	41	600	312

runs/alg-2-beam-0-h-2-abstract/poz_12_6_8.txt.out	26	600	355

runs/alg-2-beam-0-h-2-abstract/poz_12_6_9.txt.out	25	600	285

runs/alg-2-beam-0-h-2-abstract/poz_12_7_0.txt.out	33	600	278

runs/alg-2-beam-0-h-2-abstract/poz_12_7_1.txt.out	33	565	318

runs/alg-2-beam-0-h-2-abstract/poz_12_7_2.txt.out	29	600	303

runs/alg-2-beam-0-h-2-abstract/poz_12_7_3.txt.out	38	600	342

runs/alg-2-beam-0-h-2-abstract/poz_12_7_4.txt.out	27	600.002	313

runs/alg-2-beam-0-h-2-abstract/poz_12_7_5.txt.out	30	600	327

runs/alg-2-beam-0-h-2-abstract/poz_12_7_6.txt.out	24	600	377

runs/alg-2-beam-0-h-2-abstract/poz_12_7_7.txt.out	30	600	307

