type,m,index,A*,BS-ub,BS-prob,LBS
neg,10,0,29,133,152,148
neg,10,1,42,136,149,143
neg,10,10,29,131,136,135
neg,10,11,39,140,150,147
neg,10,12,48,131,144,143
neg,10,13,38,129,138,138
neg,10,14,39,132,138,139
neg,10,15,40,139,140,142
neg,10,16,37,134,138,140
neg,10,17,38,132,141,138
neg,10,18,38,130,136,139
neg,10,19,38,128,137,136
neg,10,2,36,134,144,142
neg,10,20,38,129,137,133
neg,10,21,55,129,139,139
neg,10,22,53,129,136,135
neg,10,23,51,129,138,136
neg,10,24,56,132,137,139
neg,10,25,47,128,135,134
neg,10,26,53,130,139,135
neg,10,27,53,126,136,132
neg,10,28,53,126,135,135
neg,10,29,53,127,134,135
neg,10,3,29,131,140,138
neg,10,30,43,127,132,132
neg,10,31,39,127,131,133
neg,10,32,39,129,133,135
neg,10,33,39,126,132,129
neg,10,34,39,129,131,131
neg,10,35,39,124,131,130
neg,10,36,39,125,130,130
neg,10,37,39,125,131,129
neg,10,38,39,120,131,131
neg,10,39,40,122,130,128
neg,10,4,29,133,141,139
neg,10,40,39,121,127,127
neg,10,41,39,122,130,128
neg,10,42,40,121,128,130
neg,10,43,40,119,129,129
neg,10,44,39,119,130,127
neg,10,45,38,124,131,128
neg,10,46,37,120,129,129
neg,10,47,38,121,131,127
neg,10,48,38,121,131,128
neg,10,49,39,119,130,129
neg,10,5,32,134,140,137
neg,10,50,38,119,130,126
neg,10,51,38,125,131,126
neg,10,52,38,126,132,125
neg,10,53,38,124,130,128
neg,10,54,39,122,129,129
neg,10,55,38,123,129,127
neg,10,56,38,119,130,124
neg,10,57,37,118,127,126
neg,10,58,37,119,128,126
neg,10,59,37,119,127,124
neg,10,6,32,130,138,136
neg,10,60,38,121,129,125
neg,10,61,39,121,129,127
neg,10,62,38,119,129,128
neg,10,63,39,119,127,125
neg,10,64,38,118,127,126
neg,10,65,39,118,126,125
neg,10,7,29,133,139,135
neg,10,8,29,131,136,135
neg,10,9,29,131,136,135
neg,11,0,29,131,136,135
neg,11,1,38,126,135,134
neg,11,10,38,117,126,125
neg,11,11,38,116,126,128
neg,11,2,53,126,133,135
neg,11,3,39,124,130,128
neg,11,4,39,119,127,127
neg,11,5,38,119,130,127
neg,11,6,38,122,129,124
neg,11,7,37,117,127,125
neg,11,8,38,117,129,127
neg,11,9,38,117,127,124
neg,12,0,38,115,126,124
neg,3,0,69,244,232,253
neg,3,1,45,178,186,188
neg,3,2,37,238,245,258
neg,3,3,74,282,280,302
neg,3,4,49,223,239,248
neg,3,5,35,229,203,230
neg,3,6,36,210,203,230
neg,3,7,62,202,208,225
neg,3,8,42,204,235,245
neg,3,9,55,289,288,309
neg,4,0,31,209,212,216
neg,4,1,44,188,200,223
neg,4,2,32,222,226,245
neg,4,3,45,235,244,241
neg,4,4,33,198,208,216
neg,4,5,39,187,195,221
neg,4,6,38,216,209,236
neg,4,7,45,187,197,198
neg,4,8,61,182,191,207
