n,m,p,len_p,sigma,index,obj,BS-ub-5000,BS-prob-5000,LBS-5000
1000,10,10,10,20,0,17,108,111,112
1000,10,10,10,20,1,15,108,110,109
1000,10,10,10,20,2,15,108,111,111
1000,10,10,10,20,3,15,110,111,110
1000,10,10,10,20,4,17,107,111,111
1000,10,10,10,4,0,32,339,340,400
1000,10,10,10,4,1,35,343,407,405
1000,10,10,10,4,2,35,400,409,404
1000,10,10,10,4,3,37,408,412,413
1000,10,10,10,4,4,33,394,407,407
1000,10,10,20,20,0,15,109,112,113
1000,10,10,20,20,1,15,108,110,110
1000,10,10,20,20,2,16,109,112,112
1000,10,10,20,20,3,15,109,112,111
1000,10,10,20,20,4,15,109,112,113
1000,10,10,20,4,0,39,399,412,404
1000,10,10,20,4,1,36,405,411,416
1000,10,10,20,4,2,34,401,413,409
1000,10,10,20,4,3,35,412,417,421
1000,10,10,20,4,4,34,411,418,416
1000,10,10,50,20,0,15,108,111,111
1000,10,10,50,20,1,15,107,110,111
1000,10,10,50,20,2,15,106,109,110
1000,10,10,50,20,3,16,110,111,111
1000,10,10,50,20,4,16,110,111,111
1000,10,10,50,4,0,35,406,425,426
1000,10,10,50,4,1,34,420,425,426
1000,10,10,50,4,2,35,419,401,428
1000,10,10,50,4,3,33,412,425,426
1000,10,10,50,4,4,34,385,370,429
1000,10,3,10,20,0,17,109,112,111
1000,10,3,10,20,1,16,107,111,109
1000,10,3,10,20,2,17,109,110,109
1000,10,3,10,20,3,17,111,112,112
1000,10,3,10,20,4,17,107,110,109
1000,10,3,10,4,0,37,406,408,404
1000,10,3,10,4,1,34,373,412,411
1000,10,3,10,4,2,38,344,410,417
1000,10,3,10,4,3,37,404,412,409
1000,10,3,10,4,4,35,412,419,424
1000,10,3,20,20,0,16,109,111,112
1000,10,3,20,20,1,17,110,111,112
1000,10,3,20,20,2,17,108,111,111
1000,10,3,20,20,3,16,107,110,110
1000,10,3,20,20,4,17,109,112,112
1000,10,3,20,4,0,36,414,415,415
1000,10,3,20,4,1,34,403,346,406
1000,10,3,20,4,2,36,412,417,414
1000,10,3,20,4,3,35,406,413,410
1000,10,3,20,4,4,41,411,420,411
1000,10,3,50,20,0,18,108,110,111
1000,10,3,50,20,1,17,108,110,110
1000,10,3,50,20,2,16,109,112,112
1000,10,3,50,20,3,17,107,110,111
1000,10,3,50,20,4,16,107,110,111
1000,10,3,50,4,0,37,423,428,431
1000,10,3,50,4,1,36,429,433,419
1000,10,3,50,4,2,41,426,429,429
1000,10,3,50,4,3,44,425,430,428
1000,10,3,50,4,4,36,419,429,430
1000,10,5,10,20,0,15,108,111,111
1000,10,5,10,20,1,17,108,111,110
1000,10,5,10,20,2,15,109,111,111
1000,10,5,10,20,3,18,108,113,112
1000,10,5,10,20,4,15,108,111,109
1000,10,5,10,4,0,35,403,413,407
1000,10,5,10,4,1,37,405,413,409
1000,10,5,10,4,2,37,407,413,413
1000,10,5,10,4,3,36,410,417,409
1000,10,5,10,4,4,34,405,347,408
1000,10,5,20,20,0,17,111,114,114
1000,10,5,20,20,1,16,109,111,112
1000,10,5,20,20,2,16,111,110,111
1000,10,5,20,20,3,17,111,112,113
1000,10,5,20,20,4,17,107,110,110
1000,10,5,20,4,0,38,404,416,412
1000,10,5,20,4,1,38,410,417,412
1000,10,5,20,4,2,36,410,418,423
1000,10,5,20,4,3,35,404,413,415
1000,10,5,20,4,4,36,348,409,420
1000,10,5,50,20,0,16,109,112,112
1000,10,5,50,20,1,15,107,111,111
1000,10,5,50,20,2,17,108,111,112
1000,10,5,50,20,3,16,108,110,110
1000,10,5,50,20,4,16,106,108,109
1000,10,5,50,4,0,38,425,423,426
1000,10,5,50,4,1,38,420,431,434
1000,10,5,50,4,2,39,416,429,428
1000,10,5,50,4,3,36,420,432,426
1000,10,5,50,4,4,41,394,422,425
200,10,10,10,20,0,15,19,19,19
200,10,10,10,20,1,15,19,19,19
200,10,10,10,20,2,15,19,19,19
200,10,10,10,20,3,16,19,20,20
200,10,10,10,20,4,14,19,19,19
200,10,10,10,4,0,32,82,83,82
200,10,10,10,4,1,31,81,81,81
200,10,10,10,4,2,32,79,81,83
200,10,10,10,4,3,39,82,82,82
200,10,10,10,4,4,33,82,82,82
200,10,10,2,20,0,14,19,19,19
200,10,10,2,20,1,14,18,18,18
200,10,10,2,20,2,14,18,19,19
200,10,10,2,20,3,15,19,19,19
200,10,10,2,20,4,15,18,18,18
200,10,10,2,4,0,2,2,2,2
200,10,10,2,4,1,2,2,2,2
200,10,10,2,4,2,65,65,65,65
200,10,10,2,4,3,50,50,50,50
200,10,10,2,4,4,61,61,61,61
200,10,10,4,20,0,14,19,19,19
200,10,10,4,20,1,16,20,20,20
200,10,10,4,20,2,16,20,20,20
200,10,10,4,20,3,16,20,20,20
200,10,10,4,20,4,15,18,18,18
200,10,10,4,4,0,68,68,68,68
200,10,10,4,4,1,64,64,64,64
200,10,10,4,4,2,64,64,64,64
200,10,10,4,4,3,45,77,77,77
200,10,10,4,4,4,46,79,80,79
200,10,3,10,20,0,17,20,20,20
200,10,3,10,20,1,15,18,19,19
200,10,3,10,20,2,16,19,19,19
200,10,3,10,20,3,18,18,18,18
200,10,3,10,20,4,17,20,20,20
200,10,3,10,4,0,34,82,83,83
200,10,3,10,4,1,36,81,82,83
200,10,3,10,4,2,33,82,83,80
200,10,3,10,4,3,33,82,76,83
200,10,3,10,4,4,36,79,80,79
200,10,3,2,20,0,15,18,18,18
200,10,3,2,20,1,16,20,20,20
200,10,3,2,20,2,16,20,20,20
200,10,3,2,20,3,15,19,19,19
200,10,3,2,20,4,15,20,20,20
200,10,3,2,4,0,66,66,66,66
200,10,3,2,4,1,46,74,74,75
200,10,3,2,4,2,51,51,51,51
