n,m,p,len_p,sigma,obj,BS-ub,BS-prob,LBS
200,3,3,2,4,61.2,61.2,61.2,61.2
200,3,3,2,20,44.8,44.8,44.8,44.8
200,3,3,4,4,93.8,93.8,93.8,93.8
200,3,3,4,20,46.0,46.0,46.0,46.0
200,3,3,10,4,106.8,106.8,106.6,106.8
200,3,3,10,20,45.8,45.8,45.8,45.8
200,3,5,2,4,52.8,52.8,52.8,52.8
200,3,5,2,20,43.8,43.8,43.8,43.8
200,3,5,4,4,91.8,91.8,91.8,91.8
200,3,5,4,20,45.2,45.2,45.2,45.2
200,3,5,10,4,106.8,104.8,105.6,106.0
200,3,5,10,20,44.6,44.6,44.6,44.6
200,3,10,2,4,37.0,37.0,37.0,37.0
200,3,10,2,20,41.0,41.0,41.0,41.0
200,3,10,4,4,87.8,87.8,87.8,87.8
200,3,10,4,20,42.8,44.2,44.2,44.2
200,3,10,10,4,72.8,100.4,101.0,101.2
200,3,10,10,20,45.0,44.6,45.0,44.8
200,5,3,2,4,74.2,74.2,74.2,74.2
200,5,3,2,20,29.4,29.2,29.4,29.4
200,5,3,4,4,89.2,88.8,88.8,89.2
200,5,3,4,20,30.0,30.0,30.0,30.0
200,5,3,10,4,66.4,93.8,94.2,94.6
200,5,3,10,20,29.4,29.4,29.4,29.4
200,5,5,2,4,55.0,55.0,55.0,55.0
200,5,5,2,20,27.6,27.6,27.6,27.6
200,5,5,4,4,89.8,89.4,89.8,89.4
200,5,5,4,20,29.6,29.6,29.6,29.6
200,5,5,10,4,58.0,93.0,93.2,93.2
200,5,5,10,20,29.6,29.8,30.2,30.2
200,5,10,2,4,38.0,38.0,38.0,38.0
200,5,10,2,20,27.8,29.2,29.2,29.2
200,5,10,4,4,75.0,74.4,74.4,74.4
200,5,10,4,20,25.6,29.8,29.8,29.8
200,5,10,10,4,46.0,89.6,89.6,90.2
200,5,10,10,20,26.2,29.6,29.6,29.6
200,10,3,2,4,53.6,65.6,65.8,66.0
200,10,3,2,20,15.4,19.4,19.4,19.4
200,10,3,4,4,47.0,77.2,78.0,78.2
200,10,3,4,20,16.6,19.4,19.6,19.6
200,10,3,10,4,34.4,81.2,80.8,81.6
200,10,3,10,20,16.6,19.0,19.2,19.2
200,10,5,2,4,58.6,58.6,58.6,58.6
200,10,5,2,20,14.8,18.6,18.6,18.6
200,10,5,4,4,54.8,75.2,75.0,75.8
200,10,5,4,20,15.8,19.2,19.2,19.2
200,10,5,10,4,35.8,81.4,82.2,82.0
200,10,5,10,20,16.2,19.2,19.2,19.2
200,10,10,2,4,36.0,36.0,36.0,36.0
200,10,10,2,20,14.4,18.4,18.6,18.6
200,10,10,4,4,57.4,70.4,70.6,70.4
200,10,10,4,20,15.4,19.4,19.4,19.4
200,10,10,10,4,33.4,81.2,81.8,82.0
200,10,10,10,20,15.0,19.0,19.2,19.2
500,3,3,5,4,247.0,245.4,246.4,246.0
500,3,3,5,20,97.0,118.2,118.4,118.6
500,3,3,10,4,187.2,256.0,256.0,256.0
500,3,3,10,20,95.2,117.4,117.6,118.2
500,3,3,25,4,136.8,268.8,269.2,275.0
500,3,3,25,20,95.0,116.8,116.8,117.2
500,3,5,5,4,237.8,236.8,237.4,237.2
500,3,5,5,20,64.2,113.8,115.0,115.4
500,3,5,10,4,118.4,254.8,254.0,256.2
500,3,5,10,20,68.8,117.2,117.6,117.8
500,3,5,25,4,99.2,260.4,262.8,267.8
500,3,5,25,20,68.8,115.6,118.0,118.6
500,3,10,5,4,220.2,220.0,220.0,220.0
500,3,10,5,20,45.2,114.0,116.4,116.2
500,3,10,10,4,65.6,244.8,247.0,252.2
500,3,10,10,20,46.0,113.6,115.8,117.0
500,3,10,25,4,87.2,262.4,261.2,266.2
500,3,10,25,20,44.8,113.0,118.4,118.0
500,5,3,5,4,83.6,223.6,225.6,225.4
500,5,3,5,20,36.0,79.6,80.0,79.6
500,5,3,10,4,68.4,230.0,230.0,229.0
500,5,3,10,20,36.6,78.0,79.0,78.8
500,5,3,25,4,69.6,237.2,233.6,243.2
500,5,3,25,20,39.0,79.4,79.8,80.4
500,5,5,5,4,89.4,213.0,213.8,212.8
500,5,5,5,20,32.2,78.8,79.0,78.8
500,5,5,10,4,54.2,225.4,228.8,228.4
500,5,5,10,20,32.8,78.6,80.0,80.0
500,5,5,25,4,57.8,233.6,235.8,239.2
500,5,5,25,20,33.6,79.0,79.0,79.4
500,5,10,5,4,114.8,202.2,213.0,212.8
500,5,10,5,20,27.4,77.0,78.2,78.2
500,5,10,10,4,46.4,228.6,230.6,230.6
500,5,10,10,20,24.8,77.8,79.2,79.4
500,5,10,25,4,51.6,223.4,225.0,237.6
500,5,10,25,20,26.0,78.4,79.2,79.2
500,10,3,5,4,40.0,200.6,202.4,205.0
500,10,3,5,20,16.8,52.4,53.8,53.4
500,10,3,10,4,36.4,204.8,208.4,203.8
500,10,3,10,20,16.6,52.8,54.0,54.0
500,10,3,25,4,35.4,210.4,212.0,213.0
500,10,3,25,20,16.4,52.2,53.2,53.2
500,10,5,5,4,43.0,192.4,194.6,193.2
500,10,5,5,20,15.8,52.4,53.2,53.4
500,10,5,10,4,34.6,204.6,200.6,205.4
500,10,5,10,20,15.6,52.2,53.2,53.4
500,10,5,25,4,37.8,207.0,210.6,210.4
500,10,5,25,20,16.0,52.6,53.8,53.8
500,10,10,5,4,57.4,186.2,186.4,183.8
500,10,10,5,20,15.8,52.6,53.4,53.4
500,10,10,10,4,34.8,200.8,204.0,204.0
500,10,10,10,20,14.8,52.8,54.0,53.8
500,10,10,25,4,35.2,205.8,209.6,209.8
500,10,10,25,20,15.4,52.4,53.6,53.6
1000,3,3,10,4,191.2,502.4,505.0,507.4
1000,3,3,10,20,96.6,234.2,238.4,237.0
1000,3,3,20,4,135.8,509.6,512.6,522.2
1000,3,3,20,20,90.4,237.4,240.8,241.0
1000,3,3,50,4,158.8,535.8,539.2,550.4
1000,3,3,50,20,98.8,236.2,241.0,242.2
1000,3,5,10,4,123.0,467.2,470.4,505.6
1000,3,5,10,20,70.8,230.0,237.6,236.8
1000,3,5,20,4,94.4,501.2,503.0,513.2
1000,3,5,20,20,69.4,230.6,238.0,240.4
1000,3,5,50,4,117.4,519.4,526.0,541.8
1000,3,5,50,20,72.2,235.8,239.6,240.6
1000,3,10,10,4,68.8,460.0,464.4,485.4
1000,3,10,10,20,44.4,227.8,232.8,229.2
1000,3,10,20,4,72.4,469.8,505.2,508.8
1000,3,10,20,20,51.6,228.6,233.4,238.8
1000,3,10,50,4,92.0,470.4,517.8,537.6
1000,3,10,50,20,48.8,230.4,236.2,238.2
1000,5,3,10,4,65.4,453.6,456.8,455.4
1000,5,3,10,20,37.8,159.4,162.4,162.4
1000,5,3,20,4,69.2,459.6,462.4,463.2
1000,5,3,20,20,36.4,161.0,162.8,163.0
1000,5,3,50,4,69.8,471.4,477.2,488.0
1000,5,3,50,20,36.6,159.6,160.8,162.2
1000,5,5,10,4,52.8,448.8,440.6,451.8
1000,5,5,10,20,31.6,158.8,161.8,161.6
1000,5,5,20,4,59.8,453.4,459.0,463.8
1000,5,5,20,20,31.2,158.2,162.4,163.2
1000,5,5,50,4,61.0,471.2,474.8,487.8
1000,5,5,50,20,33.0,160.2,164.8,165.4
1000,5,10,10,4,45.0,447.4,399.6,451.6
1000,5,10,10,20,25.4,157.4,161.2,161.4
1000,5,10,20,4,46.6,452.4,456.6,460.4
1000,5,10,20,20,26.4,154.8,160.0,161.4
1000,5,10,50,4,52.4,467.4,454.6,481.8
1000,5,10,50,20,25.8,156.6,161.6,163.6
1000,10,3,10,4,36.2,387.8,412.2,413.0
1000,10,3,10,20,16.8,108.6,111.0,110.0
1000,10,3,20,4,36.4,409.2,402.2,411.2
1000,10,3,20,20,16.6,108.6,111.0,111.4
1000,10,3,50,4,38.8,424.4,429.8,427.4
1000,10,3,50,20,16.8,107.8,110.4,111.0
1000,10,5,10,4,35.8,406.0,400.6,409.2
1000,10,5,10,20,16.0,108.2,111.4,110.6
1000,10,5,20,4,36.6,395.2,414.6,416.4
1000,10,5,20,20,16.6,109.8,111.4,112.0
1000,10,5,50,4,38.4,415.0,427.4,427.8
1000,10,5,50,20,16.0,107.6,110.4,110.8
1000,10,10,10,4,34.4,376.8,395.0,405.8
1000,10,10,10,20,15.8,108.2,110.8,110.6
1000,10,10,20,4,35.6,405.6,414.2,413.2
1000,10,10,20,20,15.2,108.8,111.6,111.8
1000,10,10,50,4,34.2,408.4,409.2,427.0
1000,10,10,50,20,15.4,108.2,110.4,110.8
